model,threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
Random Forest,0.72,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.73,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.74,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.75,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.76,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.77,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.78,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.79,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.8,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.81,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.8200000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.8300000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.8400000000000001,1.0,0.9967532467532467,0.9983739837398374,0,4,1228,953161
Random Forest,0.85,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
Random Forest,0.86,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
Random Forest,0.87,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
Random Forest,0.88,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
Random Forest,0.89,1.0,0.9943181818181818,0.9971509971509972,0,7,1225,953161
Random Forest,0.9,1.0,0.9935064935064936,0.996742671009772,0,8,1224,953161
Random Forest,0.91,1.0,0.9935064935064936,0.996742671009772,0,8,1224,953161
Random Forest,0.92,1.0,0.9935064935064936,0.996742671009772,0,8,1224,953161
Random Forest,0.93,1.0,0.9935064935064936,0.996742671009772,0,8,1224,953161
Random Forest,0.9400000000000001,1.0,0.9926948051948052,0.9963340122199593,0,9,1223,953161
Random Forest,0.9500000000000001,1.0,0.9926948051948052,0.9963340122199593,0,9,1223,953161
Random Forest,0.9600000000000001,1.0,0.9926948051948052,0.9963340122199593,0,9,1223,953161
Random Forest,0.97,1.0,0.9910714285714286,0.9955156950672646,0,11,1221,953161
Random Forest,0.98,1.0,0.989448051948052,0.9946960424316605,0,13,1219,953161
